polarity,subjectivity,clouds,dew_point,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
0,0,1,17.46,28.72,54,1012,27.6,16093,0,2.06
0,0,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0,1,16.75,28.02,54,1012,26.83,16093,280,1.54
-0.25,0.5,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0.4,0.26,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0.1,0.2,1,16.75,28.02,54,1012,26.83,16093,280,1.54
-0.1,0.35,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0,-25200,1,1625166000,28.02,54,1012,26.83,16093,280
0.5,0.6,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0.5,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0.1,0.408333333,1,16.75,28.02,54,1012,26.83,16093,280,1.54
-0.05,0.4,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0.5,0.5,1,16.75,28.02,54,1012,26.83,16093,280,1.54
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
-0.166666667,0.166666667,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0.322727273,0.509090909,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0.5,0.6,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
-0.166666667,0.433333333,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0.136363636,0.454545455,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0.7,0.6,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,14.7,24.54,53,1012,24.93,16093,224,2.7
0,0,1,13.73,22.34,57,1013,22.68,12875,216,2.15
0,0,1,13.73,22.34,57,1013,22.68,12875,216,2.15
0,0,1,13.73,22.34,57,1013,22.68,12875,216,2.15
0,0,1,13.73,22.34,57,1013,22.68,12875,216,2.15
0.8,1,40,13.73,20.74,64,1013,20.78,11265,201,1.72
0,0,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0,0,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0,0,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0.166666667,0.566666667,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0,0.25,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0,0,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0,0.55,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0,0,90,14.71,19.59,77,1012,18.82,12875,195,1.05
0,0,90,15.31,19.45,82,1011,18.44,12875,206,1.02
-0.8,1,90,15.31,19.45,82,1011,18.44,12875,206,1.02
0,0,90,15.31,19.45,82,1011,18.44,12875,206,1.02
-0.155555556,0.288888889,90,15.31,19.45,82,1011,18.44,12875,206,1.02
0,0,90,15.31,19.45,82,1011,18.44,12875,206,1.02
0,0,90,15.31,19.45,82,1011,18.44,12875,206,1.02
0,0,90,15.31,19.45,82,1011,18.44,12875,206,1.02
0,0,90,15.31,19.45,82,1011,18.44,12875,206,1.02
0,0,90,15.31,19.45,82,1011,18.44,12875,206,1.02
-0.25,0.5,90,14.69,19.47,77,1012,18.8,12875,188,1.19
-0.15,0.1,90,14.69,19.47,77,1012,18.8,12875,188,1.19
-0.015625,0.659375,90,14.69,19.47,77,1012,18.8,12875,188,1.19
0,0,90,14.69,19.47,77,1012,18.8,12875,188,1.19
-0.133333333,0.2,90,14.69,19.47,77,1012,18.8,12875,188,1.19
0,0.142857143,90,14.69,19.47,77,1012,18.8,12875,188,1.19
0,0.625,90,14.69,19.47,77,1012,18.8,12875,188,1.19
0.01875,0.5125,90,14.69,19.47,77,1012,18.8,12875,188,1.19
-0.6,0.9,90,14.69,19.47,77,1012,18.8,12875,188,1.19
-0.05,0.1625,90,14.69,19.47,77,1012,18.8,12875,188,1.19
-0.071428571,0.267857143,90,14.69,19.47,77,1012,18.8,12875,188,1.19
0.0625,0.2375,90,14.69,19.47,77,1012,18.8,12875,188,1.19
-0.025,0.125,90,14.69,19.47,77,1012,18.8,12875,188,1.19
0,0,90,14.97,19.61,77,1012,19.09,12875,0,1.54
0,0,90,14.97,19.61,77,1012,19.09,12875,0,1.54
0,0,90,14.97,19.61,77,1012,19.09,12875,0,1.54
0,0,90,14.97,19.61,77,1012,19.09,12875,0,1.54
0,0,90,14.97,19.61,77,1012,19.09,12875,0,1.54
0,0,90,14.97,19.61,77,1012,19.09,12875,0,1.54